 "ticks" "who" "xcor" "ycor"
 10 4565 -4 -5
 10 4545 -4 -6
 10 4543 -4 -2
 10 4542 -4 -2
 10 4570 -4 -2
 10 4562 -5 -3
 10 4551 -4 -4
 11 4543 -5 -1
 11 4575 -4 -7
 11 4554 -4 -7
 11 4568 -4 -6
 11 4544 1 0
 11 4573 -6 -2
 11 4550 -4 -6
 11 4569 -4 -7
 11 4567 -6 -2
 11 4566 -6 -2
 11 4552 -4 -7
 11 4548 -4 -6
 11 4542 -5 -1
 11 4572 -4 -6
 11 4555 -6 -2
 11 4551 -4 -4
 11 4574 0 -3
 11 4564 -4 -7
 11 4549 1 0
 11 4556 -4 -7
 11 4565 -4 -6
 11 4545 -4 -7
 11 4559 -1 -3
 11 4558 -4 -7
 11 4557 -4 -6
 11 4562 -6 -2
 11 4570 -5 -1
 11 4547 -4 -6
 11 4561 -4 -7
 11 4563 1 -8
 11 4560 -6 -2
 11 4541 -4 -7
 11 4553 -5 -1
 11 4546 -4 -7
 11 4571 -5 -1
 12 4569 -5 -6
 12 4546 -5 -6
 12 4561 -5 -6
 12 4562 -7 -1
 12 4575 -5 -6
 12 4547 -4 -7
 12 4544 2 0
 12 4553 -6 -1
 12 4556 -5 -6
 12 4550 -4 -7
 12 4554 -5 -6
 12 4565 -4 -7
 12 4564 -5 -6
 12 4563 2 -9
 12 4571 -6 -1
 12 4551 -4 -4
 12 4541 -5 -6
 12 4557 -4 -7
 12 4548 -4 -7
 12 4572 -4 -7
 12 4559 -1 -3
 12 4567 -7 -1
 12 4573 -7 -1
 12 4566 -7 -1
 12 4552 -5 -6
 12 4549 2 0
 12 4560 -7 -1
 12 4570 -6 -1
 12 4568 -4 -7
 12 4545 -5 -6
 12 4574 0 -3
 12 4543 -6 -1
 12 4558 -5 -6
 12 4542 -6 -1
 12 4555 -7 -1
 13 4543 -7 -1
 13 4550 -4 -8
 13 4556 -6 -6
 13 4555 -8 -1
 13 4552 -6 -6
 13 4561 -6 -6
 13 4548 -4 -8
 13 4564 -6 -6
 13 4573 -8 -1
 13 4546 -6 -6
 13 4549 2 0
 13 4545 -6 -6
 13 4571 -7 -1
 13 4565 -4 -8
 13 4567 -8 -1
 13 4568 -4 -8
 13 4560 -8 -1
 13 4562 -8 -1
 13 4557 -4 -8
 13 4542 -7 -1
 13 4574 0 -3
 13 4575 -6 -6
 13 4551 -4 -4
 13 4544 2 0
 13 4547 -4 -8
 13 4541 -6 -6
 13 4553 -7 -1
 13 4572 -4 -8
 13 4569 -6 -6
 13 4554 -6 -6
 13 4558 -6 -6
 13 4570 -7 -1
 13 4559 -1 -3
 13 4563 3 -10
 13 4566 -8 -1
 14 4565 -3 -9
 14 4568 -3 -9
 14 4560 -9 -1
 14 4541 -7 -7
 14 4575 -7 -7
 14 4557 -3 -9
 14 4570 -8 -2
 14 4569 -7 -7
 14 4546 -7 -7
 14 4551 -4 -4
 14 4553 -8 -2
 14 4555 -9 -1
 14 4574 0 -3
 14 4542 -8 -2
 14 4564 -7 -7
 14 4550 -3 -9
 14 4572 -3 -9
 14 4547 -4 -9
 14 4543 -8 -2
 14 4556 -7 -7
 14 4562 -9 -1
 14 4544 2 0
 14 4561 -7 -7
 14 4573 -9 -1
 14 4554 -7 -7
 14 4552 -7 -7
 14 4545 -7 -7
 14 4558 -7 -7
 14 4566 -9 -1
 14 4563 3 -10
 14 4548 -3 -9
 14 4567 -9 -1
 14 4559 -1 -3
 14 4571 -8 -2
 14 4549 2 0
 15 4562 -10 -2
 15 4565 -2 -10
 15 4571 -8 -2
 15 4574 0 -3
 15 4570 -8 -2
 15 4564 -8 -7
 15 4568 -2 -10
 15 4554 -8 -7
 15 4560 -10 -2
 15 4551 -4 -4
 15 4569 -8 -7
 15 4572 -2 -10
 15 4548 -2 -10
 15 4552 -8 -7
 15 4543 -8 -2
 15 4549 2 0
 15 4575 -8 -7
 15 4547 -5 -10
 15 4563 3 -10
 15 4559 -1 -3
 15 4541 -8 -7
 15 4557 -4 -9
 15 4573 -10 -2
